RawPath,Sample Name,Cell_type
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588979_cell_141.contacts.pairs.txt.gz,GSM3588979,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588980_cell_142.contacts.pairs.txt.gz,GSM3588980,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588981_cell_143.contacts.pairs.txt.gz,GSM3588981,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588982_cell_144.contacts.pairs.txt.gz,GSM3588982,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588983_cell_145.contacts.pairs.txt.gz,GSM3588983,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588984_cell_146.contacts.pairs.txt.gz,GSM3588984,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588985_cell_147.contacts.pairs.txt.gz,GSM3588985,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588986_cell_148.contacts.pairs.txt.gz,GSM3588986,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588987_cell_149.contacts.pairs.txt.gz,GSM3588987,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588988_cell_150.contacts.pairs.txt.gz,GSM3588988,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588989_cell_151.contacts.pairs.txt.gz,GSM3588989,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588990_cell_152.contacts.pairs.txt.gz,GSM3588990,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588991_cell_153.contacts.pairs.txt.gz,GSM3588991,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588992_cell_154.contacts.pairs.txt.gz,GSM3588992,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588993_cell_155.contacts.pairs.txt.gz,GSM3588993,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588994_cell_156.contacts.pairs.txt.gz,GSM3588994,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588995_cell_157.contacts.pairs.txt.gz,GSM3588995,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588996_cell_158.contacts.pairs.txt.gz,GSM3588996,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588997_cell_159.contacts.pairs.txt.gz,GSM3588997,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588998_cell_160.contacts.pairs.txt.gz,GSM3588998,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3588999_cell_161.contacts.pairs.txt.gz,GSM3588999,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589000_cell_162.contacts.pairs.txt.gz,GSM3589000,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589001_cell_163.contacts.pairs.txt.gz,GSM3589001,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589002_cell_164.contacts.pairs.txt.gz,GSM3589002,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589003_cell_165.contacts.pairs.txt.gz,GSM3589003,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589004_cell_166.contacts.pairs.txt.gz,GSM3589004,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589005_cell_167.contacts.pairs.txt.gz,GSM3589005,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589006_cell_168.contacts.pairs.txt.gz,GSM3589006,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589007_cell_169.contacts.pairs.txt.gz,GSM3589007,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589008_cell_170.contacts.pairs.txt.gz,GSM3589008,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589009_cell_171.contacts.pairs.txt.gz,GSM3589009,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589010_cell_172.contacts.pairs.txt.gz,GSM3589010,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589011_cell_173.contacts.pairs.txt.gz,GSM3589011,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589012_cell_174.contacts.pairs.txt.gz,GSM3589012,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589013_cell_175.contacts.pairs.txt.gz,GSM3589013,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589014_cell_176.contacts.pairs.txt.gz,GSM3589014,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589015_cell_177.contacts.pairs.txt.gz,GSM3589015,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589016_cell_178.contacts.pairs.txt.gz,GSM3589016,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589017_cell_179.contacts.pairs.txt.gz,GSM3589017,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589018_cell_180.contacts.pairs.txt.gz,GSM3589018,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589019_cell_181.contacts.pairs.txt.gz,GSM3589019,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589020_cell_182.contacts.pairs.txt.gz,GSM3589020,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589021_cell_183.contacts.pairs.txt.gz,GSM3589021,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589022_cell_184.contacts.pairs.txt.gz,GSM3589022,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589023_cell_185.contacts.pairs.txt.gz,GSM3589023,retina
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589024_cell_186.contacts.pairs.txt.gz,GSM3589024,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589025_cell_187.contacts.pairs.txt.gz,GSM3589025,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589026_cell_188.contacts.pairs.txt.gz,GSM3589026,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589027_cell_189.contacts.pairs.txt.gz,GSM3589027,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589028_cell_190.contacts.pairs.txt.gz,GSM3589028,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589029_cell_191.contacts.pairs.txt.gz,GSM3589029,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589030_cell_192.contacts.pairs.txt.gz,GSM3589030,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589031_cell_193.contacts.pairs.txt.gz,GSM3589031,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589032_cell_194.contacts.pairs.txt.gz,GSM3589032,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589033_cell_195.contacts.pairs.txt.gz,GSM3589033,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589034_cell_196.contacts.pairs.txt.gz,GSM3589034,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589035_cell_197.contacts.pairs.txt.gz,GSM3589035,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589036_cell_198.contacts.pairs.txt.gz,GSM3589036,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589037_cell_199.contacts.pairs.txt.gz,GSM3589037,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589038_cell_200.contacts.pairs.txt.gz,GSM3589038,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589039_cell_201.contacts.pairs.txt.gz,GSM3589039,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589040_cell_202.contacts.pairs.txt.gz,GSM3589040,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589041_cell_203.contacts.pairs.txt.gz,GSM3589041,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589042_cell_204.contacts.pairs.txt.gz,GSM3589042,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589043_cell_205.contacts.pairs.txt.gz,GSM3589043,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589044_cell_206.contacts.pairs.txt.gz,GSM3589044,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589045_cell_207.contacts.pairs.txt.gz,GSM3589045,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589046_cell_208.contacts.pairs.txt.gz,GSM3589046,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589047_cell_209.contacts.pairs.txt.gz,GSM3589047,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589048_cell_210.contacts.pairs.txt.gz,GSM3589048,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589049_cell_211.contacts.pairs.txt.gz,GSM3589049,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589050_cell_212.contacts.pairs.txt.gz,GSM3589050,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589051_cell_213.contacts.pairs.txt.gz,GSM3589051,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589052_cell_214.contacts.pairs.txt.gz,GSM3589052,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589053_cell_215.contacts.pairs.txt.gz,GSM3589053,main olfactory epithelium
