path,SampleName,label
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382149_cortex-p001-cb_001.contacts.pairs.txt.gz,GSM4382149_cortex-p001-cb_001,Neonatal Astrocyte
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382150_cortex-p001-cb_002.contacts.pairs.txt.gz,GSM4382150_cortex-p001-cb_002,Neonatal Neuron 1
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382151_cortex-p001-cb_003.contacts.pairs.txt.gz,GSM4382151_cortex-p001-cb_003,Neonatal Neuron 2
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382152_cortex-p001-cb_004.contacts.pairs.txt.gz,GSM4382152_cortex-p001-cb_004,
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382153_cortex-p001-cb_005.contacts.pairs.txt.gz,GSM4382153_cortex-p001-cb_005,Neonatal Neuron 2
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382154_cortex-p001-cb_006.contacts.pairs.txt.gz,GSM4382154_cortex-p001-cb_006,Oligodendrocyte Progenitor
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382155_cortex-p001-cb_007.contacts.pairs.txt.gz,GSM4382155_cortex-p001-cb_007,Neonatal Neuron 2
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382156_cortex-p001-cb_008.contacts.pairs.txt.gz,GSM4382156_cortex-p001-cb_008,Neonatal Neuron 1
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382157_cortex-p001-cb_009.contacts.pairs.txt.gz,GSM4382157_cortex-p001-cb_009,Neonatal Neuron 2
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382158_cortex-p001-cb_010.contacts.pairs.txt.gz,GSM4382158_cortex-p001-cb_010,Neonatal Neuron 1
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382159_cortex-p001-cb_011.contacts.pairs.txt.gz,GSM4382159_cortex-p001-cb_011,
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382160_cortex-p001-cb_012.contacts.pairs.txt.gz,GSM4382160_cortex-p001-cb_012,Neonatal Neuron 1
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382161_cortex-p001-cb_013.contacts.pairs.txt.gz,GSM4382161_cortex-p001-cb_013,
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382162_cortex-p001-cb_014.contacts.pairs.txt.gz,GSM4382162_cortex-p001-cb_014,Neonatal Neuron 2
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382163_cortex-p001-cb_015.contacts.pairs.txt.gz,GSM4382163_cortex-p001-cb_015,
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382164_cortex-p001-cb_016.contacts.pairs.txt.gz,GSM4382164_cortex-p001-cb_016,Neonatal Neuron 1
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382165_cortex-p001-cb_017.contacts.pairs.txt.gz,GSM4382165_cortex-p001-cb_017,
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382166_cortex-p001-cb_018.contacts.pairs.txt.gz,GSM4382166_cortex-p001-cb_018,
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382167_cortex-p001-cb_019.contacts.pairs.txt.gz,GSM4382167_cortex-p001-cb_019,Neonatal Neuron 1
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382168_cortex-p001-cb_020.contacts.pairs.txt.gz,GSM4382168_cortex-p001-cb_020,Neonatal Neuron 1
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382169_cortex-p001-cb_021.contacts.pairs.txt.gz,GSM4382169_cortex-p001-cb_021,Neonatal Astrocyte
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382170_cortex-p001-cb_022.contacts.pairs.txt.gz,GSM4382170_cortex-p001-cb_022,Neonatal Neuron 1
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382171_cortex-p001-cb_023.contacts.pairs.txt.gz,GSM4382171_cortex-p001-cb_023,Neonatal Neuron 1
/store/zlwang/Workspace/data/Dip-C/pairs/GSM4382172_cortex-p001-cb_024.contacts.pairs.txt.gz,GSM4382172_cortex-p001-cb_024,
