Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Cell_type,source_name
SRR8110554,OTHER,500,5697581500,PRJNA498483,SAMN10293069,3346056770,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937065,GSM3446102,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446102,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110555,OTHER,500,6303658000,PRJNA498483,SAMN10293068,3657927051,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937066,GSM3446103,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446103,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110556,OTHER,500,6586292000,PRJNA498483,SAMN10293067,3782997371,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937067,GSM3446104,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446104,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110557,OTHER,500,7460394500,PRJNA498483,SAMN10293066,4303025539,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937068,GSM3446105,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446105,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110558,OTHER,500,5749513500,PRJNA498483,SAMN10293065,3345387010,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937069,GSM3446106,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446106,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110559,OTHER,500,5306349000,PRJNA498483,SAMN10293064,3089616202,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937070,GSM3446107,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446107,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110560,OTHER,500,6326557000,PRJNA498483,SAMN10293063,3679662108,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937071,GSM3446108,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446108,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110561,OTHER,500,6750824500,PRJNA498483,SAMN10293062,3865296591,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937072,GSM3446109,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446109,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110562,OTHER,500,5576407500,PRJNA498483,SAMN10293061,3278860933,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937073,GSM3446110,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446110,SRP166868,main olfactory epithelium,main olfactory epithelium
SRR8110563,OTHER,500,4855208500,PRJNA498483,SAMN10293060,2851777071,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4937075,GSM3446111,Illumina HiSeq 2500,PAIRED,other,GENOMIC,Mus musculus,ILLUMINA,2019-02-04T00:00:00Z,GSM3446111,SRP166868,main olfactory epithelium,main olfactory epithelium
