chrom	start	end	GC
chr1	0	100000	
chr1	100000	200000	
chr1	200000	300000	
chr1	300000	400000	
chr1	400000	500000	
chr1	500000	600000	
chr1	600000	700000	
chr1	700000	800000	
chr1	800000	900000	
chr1	900000	1000000	
chr1	1000000	1100000	
chr1	1100000	1200000	
chr1	1200000	1300000	
chr1	1300000	1400000	
chr1	1400000	1500000	
chr1	1500000	1600000	
chr1	1600000	1700000	
chr1	1700000	1800000	
chr1	1800000	1900000	
chr1	1900000	2000000	
chr1	2000000	2100000	
chr1	2100000	2200000	
chr1	2200000	2300000	
chr1	2300000	2400000	
chr1	2400000	2500000	
chr1	2500000	2600000	
chr1	2600000	2700000	
chr1	2700000	2800000	
chr1	2800000	2900000	
chr1	2900000	3000000	
chr1	3000000	3100000	0.39129995657048205
chr1	3100000	3200000	0.38935
chr1	3200000	3300000	0.38647
chr1	3300000	3400000	0.38306
chr1	3400000	3500000	0.38152
chr1	3500000	3600000	0.38633
chr1	3600000	3700000	0.3885
chr1	3700000	3800000	0.38997
chr1	3800000	3900000	0.38311
chr1	3900000	4000000	0.38946
chr1	4000000	4100000	0.3877
chr1	4100000	4200000	0.38498
chr1	4200000	4300000	0.3893
chr1	4300000	4400000	0.37663
chr1	4400000	4500000	0.41413
chr1	4500000	4600000	0.41754
chr1	4600000	4700000	0.41187
chr1	4700000	4800000	0.41163
chr1	4800000	4900000	0.40204
chr1	4900000	5000000	0.4082
chr1	5000000	5100000	0.41079
chr1	5100000	5200000	0.40376
chr1	5200000	5300000	0.40958
chr1	5300000	5400000	0.39093
chr1	5400000	5500000	0.38896
chr1	5500000	5600000	0.39023
chr1	5600000	5700000	0.3868
chr1	5700000	5800000	0.37925
chr1	5800000	5900000	0.38719
chr1	5900000	6000000	0.39434
chr1	6000000	6100000	0.3916
chr1	6100000	6200000	0.40904
chr1	6200000	6300000	0.38322
chr1	6300000	6400000	0.40043
chr1	6400000	6500000	0.41304
chr1	6500000	6600000	0.38815
chr1	6600000	6700000	0.39507
chr1	6700000	6800000	0.37438
chr1	6800000	6900000	0.39746
chr1	6900000	7000000	0.39904
chr1	7000000	7100000	0.40737
chr1	7100000	7200000	0.39461
chr1	7200000	7300000	0.40145
chr1	7300000	7400000	0.40399
chr1	7400000	7500000	0.38469
chr1	7500000	7600000	0.37639
chr1	7600000	7700000	0.39319
chr1	7700000	7800000	0.38951
chr1	7800000	7900000	0.37994
chr1	7900000	8000000	0.38742
chr1	8000000	8100000	0.38255
chr1	8100000	8200000	0.39248
chr1	8200000	8300000	0.39147
chr1	8300000	8400000	0.37239
chr1	8400000	8500000	0.36866
chr1	8500000	8600000	0.37249
chr1	8600000	8700000	0.38774
chr1	8700000	8800000	0.38259
chr1	8800000	8900000	0.383
chr1	8900000	9000000	0.38126
chr1	9000000	9100000	0.38245
chr1	9100000	9200000	0.3778
chr1	9200000	9300000	0.38418
chr1	9300000	9400000	0.39484
chr1	9400000	9500000	0.39498
chr1	9500000	9600000	0.41389
chr1	9600000	9700000	0.40754
chr1	9700000	9800000	0.40968
chr1	9800000	9900000	0.41635
chr1	9900000	10000000	0.41382
chr1	10000000	10100000	0.3974
chr1	10100000	10200000	0.39604
chr1	10200000	10300000	0.40516
chr1	10300000	10400000	0.40289
